ID,Name,SfxId,WindSfxId,GroundHitSfxId,SoundId,WetTime,GparamId,NextLotIngameSecondsMin,NextLotIngameSecondsMax,WetSpEffectId00,WetSpEffectId01,WetSpEffectId02,WetSpEffectId03,WetSpEffectId04,SfxIdInoor,SfxIdOutdoor,aiSightRate,DistViewWeatherGparamOverrideWeight,
0,Default (EMEVD weather enum 0),-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
1,Cloudless (EMEVD weather enum 5),-1,-1,-1,-1,-1,1,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
10,Flat Clouds (EMEVD weather enum 6),-1,-1,-1,-1,-1,10,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
11,Puffy Clouds (EMEVD weather enum 7),-1,-1,-1,-1,-1,11,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
20,Rain (EMEVD weather enum 1),-1,-1,-1,-1,-1,20,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3,
21,Rainy Clouds (EMEVD weather enum 8),-1,-1,-1,-1,-1,20,2400,5200,-1,-1,-1,-1,-1,-1,-1,0.9,0.3,
30,Windy Rain (EMEVD weather enum 3),-1,-1,-1,-1,-1,30,2400,5200,-1,-1,-1,-1,-1,-1,-1,0.8,0.3,
31,Windy Fog (EMEVD weather enum 9),-1,-1,-1,-1,-1,31,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.05,
40,Snow (EMEVD weather enum 2),-1,-1,-1,-1,-1,40,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3,
41,Heavy Snow (EMEVD weather enum 10),-1,-1,-1,-1,-1,40,3600,7200,-1,-1,-1,-1,-1,-1,-1,0.9,0.3,
50,Fog (EMEVD weather enum 4),-1,-1,-1,-1,-1,50,3600,7200,-1,-1,-1,-1,-1,-1,-1,0.9,0.3,
51,Heavy Fog (EMEVD weather enum 11),-1,-1,-1,-1,-1,51,2400,5200,-1,-1,-1,-1,-1,-1,-1,0.8,0.3,
52,Rainy Heavy Fog (EMEVD weather enum 15),-1,-1,-1,-1,-1,51,3600,7200,-1,-1,-1,-1,-1,-1,-1,0.8,0.3,
60,Windy Puffy Clouds (EMEVD weather enum 12),-1,-1,-1,-1,-1,60,2400,5200,-1,-1,-1,-1,-1,-1,-1,1,-1,
81,Snowy Heavy Fog (EMEVD weather enum 16),-1,-1,-1,-1,-1,81,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3,
82,Scattered Rain (EMEVD weather enum 17),-1,-1,-1,-1,-1,82,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3,
83,Unk18 (EMEVD weather enum 18),-1,-1,-1,-1,-1,83,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3,
99,,-1,-1,-1,-1,-1,99,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
1001,,-1,-1,-1,-1,-1,621,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
1010,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
1011,,-1,-1,-1,-1,-1,622,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
1020,,-1,-1,-1,-1,-1,623,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3,
1021,,-1,-1,-1,-1,-1,623,2400,5200,-1,-1,-1,-1,-1,-1,-1,0.9,0.3,
1040,,-1,-1,-1,-1,-1,624,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3,
1050,,-1,-1,-1,-1,-1,625,3600,7200,-1,-1,-1,-1,-1,-1,-1,0.9,0.3,
1051,,-1,-1,-1,-1,-1,626,2400,5200,-1,-1,-1,-1,-1,-1,-1,0.8,0.3,
1052,,-1,-1,-1,-1,-1,626,3600,7200,-1,-1,-1,-1,-1,-1,-1,0.8,0.3,
2010,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
2011,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
2020,,-1,-1,-1,-1,-1,642,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3,
2021,,-1,-1,-1,-1,-1,642,2400,5200,-1,-1,-1,-1,-1,-1,-1,0.9,0.3,
2110,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
2111,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
3010,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
3011,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
3101,,-1,-1,-1,-1,-1,671,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
3110,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
3111,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
3120,,-1,-1,-1,-1,-1,672,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
4000,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
4010,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
4011,,-1,-1,-1,-1,-1,682,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
4040,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3,
4110,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
4111,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
4140,,-1,-1,-1,-1,-1,694,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3,
4201,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
4210,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
4211,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,
4220,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3,
4221,,-1,-1,-1,-1,-1,0,2400,5200,-1,-1,-1,-1,-1,-1,-1,0.9,0.3,
4230,,-1,-1,-1,-1,-1,0,2400,5200,-1,-1,-1,-1,-1,-1,-1,0.8,0.3,
4231,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3,
4240,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3,
4241,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,0.9,0.3,
4250,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,0.9,0.3,
4251,,-1,-1,-1,-1,-1,0,2400,5200,-1,-1,-1,-1,-1,-1,-1,0.8,0.3,
4252,,-1,-1,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,0.8,0.3,
4260,,-1,-1,-1,-1,-1,0,2400,5200,-1,-1,-1,-1,-1,-1,-1,1,-1,
